DATE_TIME,DAILY_YIELD
2020-05-24 07:45:00,296.0
2020-05-24 07:45:00,292.4285714
2020-05-24 07:45:00,302.0
2020-05-24 07:45:00,301.2857143
2020-05-24 07:45:00,284.0
2020-05-24 07:45:00,283.1428571
2020-05-24 07:45:00,277.625
2020-05-24 07:45:00,314.375
2020-05-24 07:45:00,268.375
2020-05-24 07:45:00,280.2857143
2020-05-24 07:45:00,278.4285714
2020-05-24 07:45:00,272.5
2020-05-24 07:45:00,275.5
2020-05-24 07:45:00,286.0
2020-05-24 07:45:00,279.0
2020-05-24 07:45:00,274.0
2020-05-24 07:45:00,283.125
2020-05-24 07:45:00,279.2857143
2020-05-24 07:45:00,279.625
2020-05-24 08:00:00,380.5714286
2020-05-24 08:00:00,430.7142857
2020-05-24 08:00:00,426.75
2020-05-24 08:00:00,410.7142857
2020-05-24 08:00:00,395.7142857
2020-05-24 08:00:00,417.5714286
2020-05-24 08:00:00,416.75
2020-05-24 08:00:00,392.5714286
2020-05-24 08:00:00,394.75
2020-05-24 08:00:00,383.8571429
2020-05-24 08:00:00,434.5714286
2020-05-24 08:00:00,371.8571429
2020-05-24 08:00:00,387.625
2020-05-24 08:00:00,387.0
2020-05-24 08:00:00,377.1428571
2020-05-24 08:00:00,383.8571429
2020-05-24 08:00:00,386.5714286
2020-05-24 08:00:00,384.7142857
2020-05-24 08:00:00,384.4285714
2020-05-24 08:00:00,391.8571429
2020-05-24 08:00:00,389.125
2020-05-24 08:00:00,385.7142857
2020-05-24 08:15:00,493.25
2020-05-24 08:15:00,552.625
2020-05-24 08:15:00,548.1428571
2020-05-24 08:15:00,529.75
2020-05-24 08:15:00,514.25
2020-05-24 08:15:00,538.75
2020-05-24 08:15:00,538.8571429
2020-05-24 08:15:00,509.5
2020-05-24 08:15:00,513.4285714
2020-05-24 08:15:00,501.5
2020-05-24 08:15:00,563.125
2020-05-24 08:15:00,482.0
2020-05-24 08:15:00,500.7142857
2020-05-24 08:15:00,501.7142857
2020-05-24 08:15:00,495.75
2020-05-24 08:15:00,497.75
2020-05-24 08:15:00,501.625
2020-05-24 08:15:00,505.0
2020-05-24 08:15:00,501.375
2020-05-24 08:15:00,509.375
2020-05-24 08:15:00,504.2857143
2020-05-24 08:15:00,501.25
2020-05-24 08:30:00,639.5714286
2020-05-24 08:30:00,721.5714286
2020-05-24 08:30:00,716.125
2020-05-24 08:30:00,691.8571429
2020-05-24 08:30:00,670.8571429
2020-05-24 08:30:00,703.1428571
2020-05-24 08:30:00,701.75
2020-05-24 08:30:00,668.7142857
2020-05-24 08:30:00,673.375
2020-05-24 08:30:00,660.0
2020-05-24 08:30:00,733.8571429
2020-05-24 08:30:00,627.2857143
2020-05-24 08:30:00,653.75
2020-05-24 08:30:00,658.75
2020-05-24 08:30:00,626.1428571
2020-05-24 08:30:00,635.7142857
2020-05-24 08:30:00,652.4285714
2020-05-24 08:30:00,637.7142857
2020-05-24 08:30:00,658.2857143
2020-05-24 08:30:00,664.8571429
2020-05-24 08:30:00,657.5
2020-05-24 08:30:00,644.1428571
2020-05-24 08:45:00,751.5714286
2020-05-24 08:45:00,870.75
2020-05-24 08:45:00,861.2857143
2020-05-24 08:45:00,824.4285714
2020-05-24 08:45:00,826.625
2020-05-24 08:45:00,838.0
2020-05-24 08:45:00,843.0
2020-05-24 08:45:00,813.875
2020-05-24 08:45:00,817.1428571
2020-05-24 08:45:00,803.25
2020-05-24 08:45:00,882.75
2020-05-24 08:45:00,742.2857143
2020-05-24 08:45:00,809.2857143
2020-05-24 08:45:00,802.5714286
2020-05-24 08:45:00,794.5
2020-05-24 08:45:00,797.5
2020-05-24 08:45:00,806.125
2020-05-24 08:45:00,814.25
2020-05-24 08:45:00,804.75
2020-05-24 08:45:00,816.75
2020-05-24 08:45:00,810.5714286
2020-05-24 08:45:00,803.25
2020-05-24 09:00:00,888.125
2020-05-24 09:00:00,1031.142857
2020-05-24 09:00:00,1024.5
2020-05-24 09:00:00,977.125
2020-05-24 09:00:00,975.5714286
2020-05-24 09:00:00,990.625
2020-05-24 09:00:00,1000.5
2020-05-24 09:00:00,966.7142857
2020-05-24 09:00:00,962.5
2020-05-24 09:00:00,954.5714286
2020-05-24 09:00:00,1048.285714
2020-05-24 09:00:00,882.25
2020-05-24 09:00:00,958.25
2020-05-24 09:00:00,949.5
2020-05-24 09:00:00,945.7142857
2020-05-24 09:00:00,946.8571429
2020-05-24 09:00:00,952.4285714
2020-05-24 09:00:00,971.0
2020-05-24 09:00:00,952.5714286
2020-05-24 09:00:00,962.5714286
2020-05-24 09:00:00,960.625
2020-05-24 09:00:00,952.7142857
2020-05-24 09:15:00,1075.142857
2020-05-24 09:15:00,1210.625
2020-05-24 09:15:00,1219.142857
2020-05-24 09:15:00,1157.714286
2020-05-24 09:15:00,1154.25
2020-05-24 09:15:00,1185.142857
2020-05-24 09:15:00,1203.0
2020-05-24 09:15:00,1134.625
2020-05-24 09:15:00,1148.714286
2020-05-24 09:15:00,1117.25
2020-05-24 09:15:00,1237.125
2020-05-24 09:15:00,1062.428571
2020-05-24 09:15:00,1122.285714
2020-05-24 09:15:00,1122.714286
2020-05-24 09:15:00,1102.0
2020-05-24 09:15:00,1103.875
2020-05-24 09:15:00,1119.625
2020-05-24 09:15:00,1130.125
2020-05-24 09:15:00,1124.0
2020-05-24 09:15:00,1134.25
2020-05-24 09:15:00,1125.714286
2020-05-24 09:15:00,1112.375
2020-05-24 09:30:00,1285.125
2020-05-24 09:30:00,1409.0
2020-05-24 09:30:00,1441.125
2020-05-24 09:30:00,1362.75
2020-05-24 09:30:00,1335.0
2020-05-24 09:30:00,1415.0
2020-05-24 09:30:00,1431.75
2020-05-24 09:30:00,1322.857143
2020-05-24 09:30:00,1366.375
2020-05-24 09:30:00,1300.714286
2020-05-24 09:30:00,1447.571429
2020-05-24 09:30:00,1271.0
2020-05-24 09:30:00,1294.5
2020-05-24 09:30:00,1318.875
2020-05-24 09:30:00,1284.714286
2020-05-24 09:30:00,1281.142857
2020-05-24 09:30:00,1290.857143
2020-05-24 09:30:00,1310.285714
2020-05-24 09:30:00,1317.571429
2020-05-24 09:30:00,1321.142857
2020-05-24 09:30:00,1301.375
2020-05-24 09:30:00,1281.571429
2020-05-24 09:45:00,1479.142857
2020-05-24 09:45:00,1591.0
2020-05-24 09:45:00,1631.857143
2020-05-24 09:45:00,1544.571429
2020-05-24 09:45:00,1501.0
2020-05-24 09:45:00,1612.714286
2020-05-24 09:45:00,1615.142857
2020-05-24 09:45:00,1496.25
2020-05-24 09:45:00,1554.857143
2020-05-24 09:45:00,1467.125
2020-05-24 09:45:00,1630.625
2020-05-24 09:45:00,1453.142857
2020-05-24 09:45:00,1460.428571
2020-05-24 09:45:00,1489.428571
2020-05-24 09:45:00,1489.5
2020-05-24 09:45:00,1452.714286
2020-05-24 09:45:00,1454.125
2020-05-24 09:45:00,1519.375
2020-05-24 09:45:00,1492.125
2020-05-24 09:45:00,1487.0
2020-05-24 09:45:00,1468.857143
2020-05-24 09:45:00,1440.142857
2020-05-24 10:00:00,1637.0
2020-05-24 10:00:00,1762.714286
2020-05-24 10:00:00,1783.714286
2020-05-24 10:00:00,1706.0
2020-05-24 10:00:00,1669.285714
2020-05-24 10:00:00,1775.875
2020-05-24 10:00:00,1771.714286
2020-05-24 10:00:00,1665.142857
2020-05-24 10:00:00,1716.75
2020-05-24 10:00:00,1631.571429
2020-05-24 10:00:00,1796.285714
2020-05-24 10:00:00,1604.875
2020-05-24 10:00:00,1625.75
2020-05-24 10:00:00,1652.5
2020-05-24 10:00:00,1661.714286
2020-05-24 10:00:00,1621.0
2020-05-24 10:00:00,1621.428571
2020-05-24 10:00:00,1690.857143
2020-05-24 10:00:00,1663.142857
2020-05-24 10:00:00,1654.0
2020-05-24 10:00:00,1623.125
2020-05-24 10:00:00,1596.75
2020-05-24 10:15:00,1806.857143
2020-05-24 10:15:00,1947.125
2020-05-24 10:15:00,1963.375
2020-05-24 10:15:00,1875.428571
2020-05-24 10:15:00,1836.625
2020-05-24 10:15:00,1955.142857
2020-05-24 10:15:00,1960.375
2020-05-24 10:15:00,1823.285714
2020-05-24 10:15:00,1883.285714
2020-05-24 10:15:00,1789.571429
2020-05-24 10:15:00,1982.375
2020-05-24 10:15:00,1771.857143
2020-05-24 10:15:00,1810.857143
2020-05-24 10:15:00,1815.142857
2020-05-24 10:15:00,1863.625
2020-05-24 10:15:00,1821.142857
2020-05-24 10:15:00,1796.375
2020-05-24 10:15:00,1897.375
2020-05-24 10:15:00,1833.125
2020-05-24 10:15:00,1816.375
2020-05-24 10:15:00,1787.714286
2020-05-24 10:15:00,1796.714286
2020-05-24 10:30:00,2050.125
2020-05-24 10:30:00,2184.0
